$distinct_id,income,netWorth,availableCopyCredits,buyingPower,activeCreatedPortfolios,lifetimeCreatedPortfolios,totalBuys,totalSells,totalTrades,totalWithdrawalCount,totalWithdrawals,investingActivity,investingExperienceYears,investingObjective,investmentType,A. Linked Bank Account,B. Total Deposits ($),C. Total Deposit Count,D. Subscribed within 7 days,E. Total Copies,F. Total Regular Copies,G. Total Premium Copies,H. Regular PDP Views,I. Premium PDP Views,J. Paywall Views,K. Regular Creator Profile Views,L. Premium Creator Profile Views,M. Total Subscriptions,N. App Sessions,O. Discover Tab Views,P. Leaderboard Tab Views,Q. Premium Tab Views,R. Stripe Modal Views,S. Creator Card Taps,T. Portfolio Card Taps
$device:49DDCDEC-5020-401A-925E-22E0D0364796,,,2,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
$device:BF76B518-2634-401E-9FFC-F2DE547C0E87,,,2,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
$device:5331E6C8-49B0-4F6F-90EC-5F25B8234278,,,0,0,0,0,5,4,9,2,108.96,,,,,true,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
$device:8ACE06AC-6937-4A6E-A225-3AA137EDB7A8,,,2,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
$device:C902C2F8-312E-402E-B51B-9902134F34C8,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
$device:E00B56B5-C2EB-458F-B77E-C85E3E9DF5D4,,,2,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
$device:F2E60220-EAE7-40B6-9C77-6DE0C1BF2DFF,,,2,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
$device:18BF9FBD-CEE3-46F6-B059-E52FAEA66762,,,2,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
$device:236E4DF9-A8E5-475E-9CC6-403E0CC3ED67,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
$device:52F45233-C3D1-45AB-95F4-11AA3BDABA36,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
