Funnel,$distinct_id,Time to Linked Bank
Time to Linked Bank,$device:BDFB3685-6120-40CD-B207-924FB0578843,
Time to Linked Bank,$device:d2c0d481-ccbc-4956-ae47-c065c4540601,
Time to Linked Bank,$device:63767E8A-52E2-4BA5-853A-09427E806BC4,
Time to Linked Bank,$device:17226043-4DB6-4E78-925B-CB587B4CB4F9,
Time to Linked Bank,$device:da466222-d0d4-44ed-81c7-942b1079ab8e,
Time to Linked Bank,$device:9C69067F-6548-4B41-98E9-3DDC19DCDA49,
Time to Linked Bank,540943195802886144,
Time to Linked Bank,$device:378fef57-e265-4873-a0f9-62921167fd1f,
Time to Linked Bank,$device:409B7BDF-96D2-4CED-9B3E-077359D911C4,
Time to Linked Bank,$device:AC6C4C34-AFFB-476B-B853-E8C39CA04368,
Time to Linked Bank,$device:5BDA0CE9-887C-4F79-A8A0-1985DEFAD5CC,
Time to Linked Bank,$device:B0C55C14-5014-48E4-9F86-47A7D91F57AE,
Time to Linked Bank,$device:47D3344C-77DB-4BF8-9BC7-F4BD6A85A85A,
Time to Linked Bank,$device:0E27AB01-90B4-4297-9DFA-9E8AEAC7E307,
Time to Linked Bank,$device:47063AE8-2ABF-492A-8497-7794618E675F,
Time to Linked Bank,$device:D0958655-6DF1-4917-ACC7-E84D86F88D9E,
Time to Linked Bank,$device:A242D421-CCE4-4D42-8D38-D2D084BEB4C4,
Time to Linked Bank,$device:86956B17-C22E-4DFB-A293-C0ECD6A8DC79,0.006782407407407407
Time to Linked Bank,$device:144437ad-413b-437d-9b92-dd68bb1881be,0.005821759259259259
Time to Linked Bank,540925042204749824,
Time to Linked Bank,518272572239728640,
Time to Linked Bank,$device:7C8DDA7C-AE06-4216-9AB4-1FA50318CC0B,
Time to Linked Bank,$device:d2845b1a-e1ab-47d2-815b-bad7970f25fd,
Time to Linked Bank,540950604273037312,0.3015393518518519
Time to Linked Bank,$device:39B29BD6-9758-4FF1-9A84-8707283C7323,
Time to Linked Bank,$device:54e951d8-ecc9-4803-9a2a-b4521296d528,
Time to Linked Bank,$device:16b2578e-459f-4630-8e43-59635483b350,
Time to Linked Bank,$device:0FD50B0C-29EB-4260-91FB-098C1834CCEC,
Time to Linked Bank,540928532583211008,
Time to Linked Bank,541041460611002368,
Time to Linked Bank,540927407284695040,
Time to Linked Bank,$device:40D825FC-5206-44A0-A3B7-A574368E1B69,
Time to Linked Bank,$device:9A91F9A7-7C7D-425E-8A5B-7E46B938E78D,
Time to Linked Bank,$device:40BD7896-A7BE-46F2-96FB-59931D6CD540,
Time to Linked Bank,$device:9BCFCAFC-9231-4A32-86F5-582F67B0364F,
Time to Linked Bank,$device:04A1D4A6-FB1A-4F65-98B4-6ED8B1BBCA9C,0.5926041666666667
Time to Linked Bank,$device:35BB22D3-39AE-4A41-8ED0-00AE29748A78,
Time to Linked Bank,540890414710403072,
Time to Linked Bank,$device:B9BA3F54-1C16-4B91-967A-F6DD84A0F41C,
Time to Linked Bank,$device:71901e37-a447-46d7-b26f-3c36f1838ac9,
Time to Linked Bank,$device:9062C32E-A042-4C04-B827-DA8DE8D4177D,
Time to Linked Bank,$device:68E1A0AD-1299-4EC6-BD06-7748D37AA940,
Time to Linked Bank,540863625661394944,
Time to Linked Bank,$device:bb191280-08e0-462c-92a4-57c6fbee539d,
Time to Linked Bank,$device:da5b15c2-cadb-41d3-bcc4-b6a017372307,
Time to Linked Bank,$device:FEC779A8-8EAD-4FBB-A98E-B227C94F7AAD,
Time to Linked Bank,$device:6A2A77B5-6322-4862-936D-E25A721A980D,
Time to Linked Bank,$device:63596ded-3fdc-44e6-b3b0-82eb83513e58,
Time to Linked Bank,$device:26112AB0-E53D-4B80-A8A7-DD74628B3E2F,
Time to Linked Bank,$device:F9773D48-ED30-467F-A31D-0B85740921AD,0.06607638888888889
Time to Linked Bank,$device:20394fd4-ae25-4b0b-a183-b8e6c7ab755c,
Time to Linked Bank,$device:8c93f63e-de61-45b3-bbf3-ef5f6415c468,
Time to Linked Bank,$device:7831228B-98CD-4F06-9B88-A28D84C62389,
Time to Linked Bank,$device:710439C8-45B7-4475-825F-7508D57FCC6D,0.008287037037037037
Time to Linked Bank,$device:65820310-AEEE-4D98-A798-30C71798C076,
Time to Linked Bank,$device:569FFCD2-592B-412B-9D2A-DA71D2A751D3,
Time to Linked Bank,$device:25f4f5db-6f4a-49d2-b7d0-822c0448b9d0,
Time to Linked Bank,$device:911474F7-6302-442F-80FB-B862FCEB9BA7,
Time to Linked Bank,$device:11cec6d3-b715-45f6-8a8d-1c02a3075413,
Time to Linked Bank,540909508180762624,0.0059490740740740745
Time to Linked Bank,$device:E8039512-93AC-407F-834F-FAB7846178E2,
Time to Linked Bank,$device:dea905cc-a226-4623-a9df-8d750c9cb2f6,
Time to Linked Bank,$device:FF19C295-ADA3-44F9-A45E-6DEF0ED786A8,
Time to Linked Bank,$device:07A9485E-180A-4E54-AB59-C130742B1786,
Time to Linked Bank,$device:f2dd774c-ea82-4aa3-97c4-2dabf7d66b99,0.050347222222222224
Time to Linked Bank,$device:5B127188-7657-422A-8B9B-07476E7D2FC2,
Time to Linked Bank,$device:A1D93071-C85D-44F9-BC5D-8B7397F8DF40,
Time to Linked Bank,$device:A083F340-255F-4790-9B5A-376A85F0C813,
Time to Linked Bank,540980593538555904,
Time to Linked Bank,540882811343527936,
Time to Linked Bank,$device:eb4756dd-6ee1-4658-829b-00af9384221f,
Time to Linked Bank,$device:68B2E0FD-E71A-4DC3-BCF9-AE6396BED03F,
Time to Linked Bank,540922545512046592,
Time to Linked Bank,$device:C938AB62-B760-4114-9C7F-9FB6C95CFA34,
Time to Linked Bank,$device:3d60a6e5-85b6-41bc-91ad-0b86e0a5f475,
